location,square_footage,bedrooms,bathrooms,property_type,year_built,distance_to_tube_km,amenities,price
Kingston upon Thames,1104.0,3,3,Detached,1864,1.0621642804045281,"concierge, garage, garden, gym",1342570.0
Richmond upon Thames,1402.0,2,1,Terraced,1863,1.1441051593101477,"cellar, lift, near_tube, new_build",2350326.0
Harrow,967.0,2,3,Terraced,1984,0.48501314595776074,"concierge, new_build",1132860.0
Barnet,688.0,2,2,Flat,1860,1.4609079482255007,"concierge, parking, river_view, study",199728.0
Kensington and Chelsea,1086.0,3,3,Flat,1953,3.7605001223945838,"parking, study",1834838.0
Havering,641.0,2,2,Detached,1870,0.3254000906756675,"cellar, concierge, ensuite, garage, new_build, river_view",120000.0
Brent,540.0,4,2,Flat,1864,2.0600008900073736,cellar,120000.0
Islington,322.0,2,2,Flat,1966,0.39541500411511893,parking,120000.0
Westminster,380.0,3,1,Flat,1918,1.7998030122843687,"cellar, concierge, gym, park_view, parking",120000.0
Waltham Forest,581.0,1,1,Semi-Detached,1853,0.9105443834041796,"balcony, concierge, loft, new_build, park_view",120000.0
Southwark,497.0,2,1,Detached,1968,1.833065633454642,"concierge, garage, lift, near_tube",120000.0
Kensington and Chelsea,944.0,2,3,Flat,2018,0.3462774704178083,"lift, loft, near_tube, river_view",1434782.0
Havering,490.0,5,2,Flat,1947,1.1799253109239312,balcony,120000.0
Lambeth,250.0,3,2,Flat,1916,1.957732319610949,"cellar, ensuite, garage, garden, lift, parking",120000.0
Sutton,537.0,1,3,Flat,1996,1.2152333297403914,"concierge, garage, garden, parking, river_view, study",120000.0
Redbridge,708.0,2,3,Flat,1908,1.693043885913491,"garden, study",351283.0
Barking and Dagenham,668.0,4,1,Semi-Detached,1956,0.7163867603252718,near_tube,149109.0
Sutton,1306.0,1,2,Terraced,1932,1.7251358361625226,"cellar, concierge, garage, lift",1910663.0
Southwark,666.0,1,2,Flat,1976,2.9427330948450416,"garden, park_view",217267.0
Lewisham,1114.0,2,3,Terraced,1940,0.7077212236167695,gym,1501479.0
Westminster,844.0,2,3,Semi-Detached,1933,1.673290812322628,park_view,1122854.0
Brent,837.0,3,2,Flat,1923,0.5520911690300304,"cellar, new_build, parking, river_view",683546.0
Richmond upon Thames,599.0,1,1,Flat,1901,3.158486022173224,"balcony, lift, near_tube",120000.0
Hounslow,832.0,4,2,Semi-Detached,1934,0.2707606053377001,"gym, near_tube, park_view, river_view, study",601280.0
Harrow,620.0,2,1,Flat,1860,1.4107392330735777,"garden, gym",120000.0
Redbridge,901.0,4,3,Detached,1909,1.083558401777055,"balcony, ensuite, garden, study",842979.0
Harrow,779.0,3,3,Detached,1863,0.7128163319254875,"gym, lift",453091.0
City of London,567.0,2,3,Maisonette,1906,0.691840105840621,"ensuite, garden, river_view, study",188045.0
Barnet,1148.0,3,1,Flat,1911,1.0103887003772447,"gym, loft, new_build, park_view, study",1649476.0
Croydon,978.0,1,2,Flat,1854,2.854671298049455,"lift, new_build, river_view",885317.0
Hackney,716.0,4,3,Detached,1901,1.27860640786504,"balcony, cellar, garden, park_view, parking, study",467035.0
Hounslow,894.0,2,2,Terraced,1966,0.15492107985956488,"cellar, garage, garden, near_tube",807677.0
Harrow,825.0,2,3,Flat,2018,0.22216260781693362,"cellar, new_build",759391.0
Hounslow,590.0,1,2,Terraced,1957,1.27429014949007,"cellar, concierge, loft, near_tube, parking, study",120000.0
Croydon,871.0,2,2,Flat,1973,2.2189263237459347,"ensuite, garage, study",891814.0
Kingston upon Thames,664.0,2,2,Terraced,1966,0.49987482529758165,"ensuite, garden, gym, parking, study",311483.0
Waltham Forest,567.0,2,1,Maisonette,2014,1.2186934590468206,"cellar, near_tube, parking",120000.0
Ealing,363.0,5,2,Semi-Detached,2013,2.2426520095019975,parking,120000.0
Bexley,742.0,2,1,Terraced,1869,1.3672100079097063,"garage, new_build, river_view, study",265450.0
Hammersmith and Fulham,1020.0,1,3,Studio,1932,1.1288952167884898,"balcony, cellar, gym, new_build",1220727.0
Kingston upon Thames,642.0,3,2,Semi-Detached,2007,0.8038657046885745,"balcony, ensuite, gym, near_tube, park_view",358683.0
Richmond upon Thames,1606.0,2,2,Flat,2003,0.9128558287322662,"cellar, ensuite, garage, lift, park_view",3228930.0
Hillingdon,1116.0,3,3,Semi-Detached,1943,1.737521414418847,"gym, lift, near_tube, new_build, park_view",1339697.0
Redbridge,1241.0,4,2,Flat,1927,1.8958197469792977,"concierge, ensuite, lift, near_tube",1931715.0
Redbridge,1089.0,1,3,Flat,1860,1.8705704595711876,parking,1210075.0
Merton,1406.0,3,2,Terraced,1933,0.5709799609590034,"ensuite, garden, park_view, river_view",2446792.0
Bromley,614.0,1,3,Flat,1938,0.050574611413791125,"balcony, ensuite, lift, near_tube, new_build, parking",120000.0
Hammersmith and Fulham,250.0,1,3,Flat,1960,0.7287670603481604,"cellar, concierge, garage, gym, lift, near_tube",120000.0
Camden,716.0,1,1,Terraced,1940,2.0274060574501847,ensuite,432475.0
Lambeth,1017.0,1,1,Flat,1887,3.3033798612695766,"concierge, loft, near_tube, parking, river_view, study",1034868.0
Bexley,895.0,2,3,Terraced,2018,0.4206973582483609,parking,850942.0
Hounslow,933.0,5,1,Flat,1887,1.6708131226127056,lift,867246.0
Brent,1246.0,5,3,Semi-Detached,1916,0.6066299179489426,lift,2121355.0
Camden,965.0,1,1,Maisonette,1938,2.7153799381852908,"balcony, garden, gym, study",1274368.0
Lambeth,1090.0,5,3,Flat,1901,2.004368585817396,"gym, study",1655304.0
Barking and Dagenham,568.0,4,3,Semi-Detached,1861,1.340203508745603,"cellar, garden, near_tube, parking",120000.0
Barking and Dagenham,521.0,3,2,Flat,1956,1.4161299020460332,"balcony, garden, park_view",120000.0
City of London,1334.0,4,2,Flat,1891,2.518069073065086,"cellar, garage, lift, near_tube, parking, river_view",2585271.0
Merton,880.0,3,2,Flat,2002,0.17180243481006716,"cellar, river_view",745270.0
Hillingdon,663.0,2,2,Flat,1988,0.97560672884242,"ensuite, river_view",139941.0
Sutton,664.0,3,2,Flat,1924,0.36767610869286843,"balcony, cellar, garden, study",264002.0
Richmond upon Thames,655.0,4,1,Semi-Detached,1930,1.397710781953479,garage,379963.0
Haringey,637.0,4,1,Semi-Detached,2015,1.1905379923622632,"garage, garden, loft",156952.0
Barnet,465.0,1,3,Studio,1854,1.3380649131363895,"cellar, gym, near_tube, study",120000.0
Haringey,400.0,5,3,Maisonette,1915,0.3150687985080892,"concierge, ensuite, gym, river_view",120000.0
Wandsworth,791.0,2,2,Flat,1860,2.233892627032708,"garden, loft, new_build",562880.0
Westminster,672.0,5,3,Flat,1874,1.8026730002802027,parking,502598.0
Haringey,1182.0,2,2,Flat,2009,0.7100159917454252,"garden, loft",1887872.0
Ealing,938.0,1,2,Terraced,1867,1.9049949172028127,parking,791801.0
Enfield,930.0,5,1,Detached,2016,0.08763718597546193,"balcony, concierge, garage, lift, new_build, parking",1143668.0
City of London,627.0,3,2,Flat,1986,0.3787257998158569,"concierge, garage, lift, study",503000.0
Barnet,814.0,2,1,Flat,1961,1.0056917094798816,"park_view, river_view",580223.0
Camden,958.0,1,3,Flat,1979,0.8163862962274673,"garden, park_view",1206166.0
Enfield,1065.0,1,1,Maisonette,1882,2.6249902130646716,gym,1229796.0
Enfield,822.0,1,2,Terraced,1870,1.715070248456146,"cellar, park_view, study",393978.0
Sutton,1174.0,5,2,Semi-Detached,1914,3.0167614912257883,gym,1666110.0
Bromley,852.0,1,1,Terraced,1983,0.2631873916059564,"cellar, ensuite, garden, new_build, study",577905.0
Brent,1088.0,1,2,Flat,1903,0.8101602738253009,"new_build, study",1213677.0
Hackney,703.0,5,1,Flat,1880,0.358495380256088,park_view,320749.0
Lambeth,306.0,5,1,Semi-Detached,1986,1.3449507151368816,cellar,120000.0
Westminster,931.0,2,3,Semi-Detached,1960,0.2640305043576676,gym,1383378.0
City of London,1068.0,4,2,Flat,1943,1.2114326112015783,"cellar, ensuite, park_view",2018112.0
Westminster,1023.0,3,2,Flat,1921,0.5411391983975065,garage,1416480.0
Barnet,977.0,3,1,Flat,1985,1.9229810498351676,river_view,1215235.0
Kingston upon Thames,745.0,2,1,Flat,1977,1.0141032076834748,"ensuite, river_view",495850.0
Islington,608.0,4,2,Flat,1912,0.2130653831936748,"garden, gym, near_tube, new_build",174290.0
Wandsworth,1016.0,5,3,Flat,1872,2.1442696378665382,"new_build, study",1335713.0
Kensington and Chelsea,978.0,4,1,Semi-Detached,2001,2.1690062470893134,"concierge, garage, study",1747236.0
Wandsworth,682.0,5,3,Detached,1873,1.8473282707351149,"cellar, near_tube, study",392894.0
Havering,1183.0,1,1,Semi-Detached,1924,0.6988633629489872,"concierge, garden, near_tube, parking",1515695.0
Greenwich,585.0,4,2,Semi-Detached,2005,1.5825801259659815,river_view,120000.0
Westminster,675.0,5,1,Studio,1922,2.3059409719978863,"ensuite, lift, near_tube, new_build, river_view, study",548264.0
Camden,1341.0,3,3,Studio,1994,0.9346425114154546,river_view,2412598.0
Waltham Forest,1111.0,5,3,Flat,1935,0.9694620551443043,"balcony, cellar, loft, near_tube, parking, river_view",1705038.0
Hillingdon,743.0,2,3,Flat,1979,1.122189925093809,"ensuite, garden",325429.0
Southwark,936.0,5,3,Flat,1952,1.8668255829524814,"ensuite, new_build, park_view",1110114.0
Lambeth,896.0,5,3,Maisonette,1898,1.2497121632582318,ensuite,1004096.0
Hammersmith and Fulham,250.0,4,2,Flat,2005,1.6630395041336088,"garden, loft, parking",120000.0
Brent,578.0,4,3,Flat,1931,0.897347608423469,"ensuite, garden, lift, loft, near_tube, study",144323.0
Hounslow,835.0,3,1,Terraced,1929,0.8796895752884025,"cellar, concierge, ensuite, loft, parking",652699.0
Enfield,743.0,2,2,Terraced,1964,1.707130531984611,"concierge, garden, river_view, study",407549.0
Richmond upon Thames,924.0,3,3,Terraced,2011,0.6199479127060467,"ensuite, new_build, study",1251741.0
Westminster,1189.0,5,2,Semi-Detached,2001,0.42709461651738484,"balcony, concierge, garden, new_build, park_view, study",2350226.0
Tower Hamlets,754.0,1,3,Terraced,1918,0.5953620409421092,"balcony, ensuite, garden, new_build, parking",582484.0
Brent,533.0,2,2,Detached,1890,0.8484601850874319,"gym, parking",120000.0
Lambeth,947.0,3,2,Flat,1906,1.065666597994527,"cellar, garage, parking, river_view",1001834.0
Barking and Dagenham,752.0,2,1,Detached,1895,0.702003362418835,"gym, parking, study",196595.0
Lambeth,803.0,4,1,Terraced,1901,0.7687936664044178,"ensuite, near_tube",642286.0
Brent,762.0,2,3,Flat,1924,1.389992362646948,"cellar, garage, new_build, park_view",319433.0
Croydon,1523.0,4,3,Studio,1853,0.5358582992054444,"cellar, lift, near_tube",2478101.0
Greenwich,250.0,1,2,Maisonette,1942,1.8247222490190567,garage,120000.0
Brent,733.0,2,3,Detached,1997,0.47679894465019246,"balcony, concierge, garage, near_tube, new_build, parking",335278.0
Brent,849.0,4,1,Maisonette,1924,1.044485566015731,"balcony, concierge, lift, study",698553.0
Southwark,616.0,3,3,Flat,1863,0.9926255851860492,"loft, new_build, park_view, river_view",120000.0
Islington,1120.0,4,2,Flat,1917,2.6123592622462706,"ensuite, garage, garden, gym, near_tube, parking",1760140.0
Greenwich,1094.0,4,2,Flat,1908,0.9082418032072491,"concierge, ensuite, garden, gym, near_tube",1578622.0
Camden,836.0,2,1,Detached,1953,2.0087506436830433,"cellar, garden, gym, lift, new_build, parking",947095.0
Brent,769.0,3,2,Detached,1893,1.7099885303300402,"cellar, garage, loft, park_view, river_view",489363.0
Hackney,816.0,5,3,Studio,1902,0.6659213483937103,"cellar, garage",849812.0
Waltham Forest,819.0,5,3,Detached,1979,2.459771856136818,"cellar, garden, parking",747469.0
Southwark,826.0,1,2,Terraced,1880,0.6940530618590038,"gym, lift, loft, river_view",402006.0
Harrow,794.0,4,1,Flat,2012,0.8223149616127706,"balcony, loft",486943.0
Havering,926.0,3,1,Flat,1901,1.471557773523008,"ensuite, lift",812202.0
Bromley,1076.0,1,1,Terraced,1992,0.7600126262062901,"cellar, gym, lift, loft",1365908.0
Richmond upon Thames,481.0,4,1,Semi-Detached,1864,0.271457761223139,"new_build, park_view, river_view",120000.0
Hammersmith and Fulham,535.0,1,3,Flat,1905,0.8333528401581678,garage,120000.0
Lewisham,325.0,2,1,Maisonette,1915,0.8222115509308622,"garage, gym, loft, park_view",120000.0
Southwark,1110.0,4,1,Semi-Detached,1929,0.45019878849126593,"balcony, loft, parking, river_view",1627850.0
Islington,925.0,5,1,Flat,1866,1.035008373891565,"ensuite, garage, lift, new_build, study",1137321.0
Tower Hamlets,1002.0,3,2,Maisonette,1892,1.0528161772161175,garden,1127111.0
Wandsworth,421.0,5,2,Terraced,2002,1.396645686566279,"cellar, concierge, parking",120000.0
Kingston upon Thames,1385.0,5,1,Semi-Detached,2010,0.37847591604190206,"balcony, ensuite, new_build, park_view, parking, study",2550058.0
Tower Hamlets,667.0,3,2,Flat,1926,0.4004276921607805,"park_view, parking",427334.0
Redbridge,900.0,1,1,Flat,1870,1.8665598183946581,"balcony, garage, gym, near_tube, parking",530599.0
Kingston upon Thames,1106.0,4,3,Flat,1897,0.4665245009096586,"garden, lift, near_tube",1586962.0
Richmond upon Thames,554.0,1,1,Terraced,2015,1.2712671597310083,"near_tube, study",120000.0
Hammersmith and Fulham,686.0,5,1,Semi-Detached,2009,0.8815404316261567,"concierge, ensuite, garage, loft, river_view",508559.0
Barking and Dagenham,904.0,2,2,Studio,1991,0.5641140159703346,"concierge, lift, new_build, parking, study",874157.0
Haringey,1707.0,4,3,Maisonette,2000,2.589712164651518,"cellar, ensuite, garage, gym, loft, parking",3455364.0
Barking and Dagenham,940.0,4,2,Flat,1973,1.0648600656526352,"cellar, garage, garden, new_build, park_view",1111066.0
Westminster,1332.0,3,1,Studio,1958,0.6384391808440838,"new_build, park_view",2494249.0
Waltham Forest,1212.0,5,2,Flat,1984,0.21936273423913424,"balcony, concierge, loft, new_build, river_view",1939151.0
Enfield,960.0,4,1,Flat,1962,1.6272941108520176,lift,1212863.0
Hackney,553.0,5,1,Semi-Detached,1909,0.4627434750049692,"balcony, garage, river_view",120000.0
Barnet,1168.0,1,3,Maisonette,1961,2.4409735223313587,"new_build, study",1615058.0
Islington,401.0,3,3,Maisonette,1901,0.9773425627462659,"garden, gym, loft, study",120000.0
Waltham Forest,1330.0,5,1,Detached,1958,4.885357688237586,"ensuite, near_tube, new_build, parking, river_view",2192215.0
Wandsworth,910.0,5,2,Flat,1916,0.8213744486465003,"gym, park_view, parking, river_view",1186776.0
Lewisham,250.0,3,2,Flat,1934,0.44641760843596284,"lift, loft",120000.0
Ealing,748.0,1,3,Flat,1881,1.0806736583053862,"concierge, ensuite, study",307893.0
Bexley,1046.0,2,3,Terraced,2016,0.6172136217689307,balcony,1197073.0
Hammersmith and Fulham,779.0,3,2,Terraced,1979,0.11575408716507002,"cellar, garden, gym, river_view",809935.0
Merton,1065.0,4,1,Flat,1868,1.9208687190813205,"balcony, cellar, gym, near_tube, new_build",1328180.0
Newham,595.0,5,1,Terraced,1932,1.294805978253091,"garage, parking",120000.0
Hounslow,458.0,1,1,Terraced,1929,0.5237362495851414,"balcony, ensuite, gym, park_view",120000.0
Haringey,829.0,2,3,Semi-Detached,2004,0.3744897590492887,"concierge, garage, garden, lift, loft, park_view",777804.0
Barnet,859.0,2,3,Flat,1981,0.41791507560867236,gym,830184.0
Croydon,745.0,5,3,Flat,2002,1.0387544134194775,"balcony, cellar, garage, garden, parking, river_view",555744.0
Croydon,1218.0,1,1,Semi-Detached,1931,3.600647236866318,"garage, near_tube",1574085.0
Kensington and Chelsea,595.0,2,1,Semi-Detached,1877,0.8700902135457564,"cellar, park_view",295952.0
Hackney,944.0,2,1,Flat,1975,0.2069974812412486,"ensuite, garden, gym, loft, river_view",1034747.0
Southwark,870.0,1,2,Flat,1888,0.4584013993036514,"garden, river_view, study",759803.0
Bexley,383.0,4,1,Maisonette,1960,1.1363311597191923,"balcony, loft, river_view",120000.0
Kensington and Chelsea,454.0,3,2,Semi-Detached,1921,0.5359116740431439,"cellar, study",120000.0
Hammersmith and Fulham,854.0,3,3,Flat,1910,0.3136612184014476,gym,977185.0
Redbridge,1444.0,5,1,Terraced,1870,0.8929596731543062,"garage, lift, near_tube, new_build, parking, study",2405593.0
City of London,1024.0,3,3,Terraced,1989,0.4568875432734579,river_view,1837457.0
Enfield,332.0,2,2,Flat,1969,1.1864123442046708,garden,120000.0
Croydon,250.0,2,3,Flat,1909,1.2104153183752666,"balcony, cellar, gym, lift, parking",120000.0
Hounslow,1070.0,5,1,Studio,1978,1.493636552268394,"concierge, ensuite, garage, garden, river_view",1474439.0
Hounslow,821.0,3,1,Terraced,2021,1.6817038370621251,"cellar, park_view",723428.0
Tower Hamlets,1192.0,1,1,Flat,1975,0.510948305585739,"garage, garden, gym, parking, study",1719205.0
Newham,586.0,4,3,Semi-Detached,2015,1.8971622078516241,"balcony, ensuite, garage, gym, river_view",120000.0
City of London,955.0,4,3,Terraced,1931,0.7522911364527122,"near_tube, park_view",1504703.0
Newham,1104.0,2,1,Terraced,1915,0.15229166247873208,near_tube,1436576.0
Barnet,716.0,3,2,Flat,1996,1.7475460174124546,"concierge, garden, near_tube, parking, river_view",414515.0
Hammersmith and Fulham,722.0,3,3,Flat,1965,2.5637856733180446,"ensuite, gym, lift, near_tube, river_view",675679.0
Kingston upon Thames,858.0,1,3,Flat,1955,0.8522399945634521,"garage, gym, river_view",735573.0
Camden,1013.0,1,3,Studio,1961,1.9693232282360398,"park_view, river_view",1499536.0
Kingston upon Thames,846.0,4,3,Terraced,2022,0.9033971115808193,"garden, parking, study",825745.0
Greenwich,1142.0,4,3,Detached,1969,0.6250346121879184,"concierge, river_view",1839172.0
Lambeth,711.0,4,3,Flat,1991,0.9147635393145914,"cellar, concierge, gym, new_build, river_view, study",579860.0
Enfield,451.0,2,3,Semi-Detached,1856,0.9916775355607126,"cellar, lift",120000.0
Waltham Forest,1443.0,3,2,Terraced,1975,1.1398731767468606,"ensuite, loft, near_tube",2547417.0
Barnet,669.0,5,2,Semi-Detached,1905,0.783585013553298,"lift, loft, park_view, parking",327805.0
Hammersmith and Fulham,679.0,2,2,Flat,1871,1.6952395870318162,garden,162949.0
Lewisham,830.0,4,3,Terraced,1898,1.4378623541343132,"near_tube, park_view, parking, river_view",599051.0
Richmond upon Thames,870.0,1,1,Flat,1994,0.41722709636331373,"ensuite, garden, gym, river_view",954402.0
Hillingdon,734.0,1,3,Flat,1992,0.6651392526384144,"garden, lift, near_tube, park_view",312729.0
Hammersmith and Fulham,845.0,5,2,Semi-Detached,1903,1.6310986687364692,"gym, park_view, parking, study",997007.0
City of London,838.0,1,1,Flat,1883,0.88756320236393,"balcony, cellar, river_view",916025.0
Southwark,902.0,4,2,Flat,1922,0.5385156148155865,"cellar, loft, near_tube, new_build",916845.0
Kensington and Chelsea,250.0,3,1,Maisonette,1907,0.8642004149795681,"ensuite, garage, garden, near_tube, new_build, park_view",120000.0
Newham,1414.0,5,3,Flat,1930,0.25698096272481136,"garage, lift, loft",2488308.0
Haringey,806.0,3,2,Terraced,1986,2.3315562591010757,"loft, park_view, study",685821.0
Kensington and Chelsea,1024.0,4,2,Detached,1907,1.017923125217075,"ensuite, garden, gym, park_view, parking",1912720.0
Harrow,437.0,5,1,Semi-Detached,1880,0.6161386752183572,concierge,120000.0
Barnet,709.0,5,1,Flat,1868,0.2447019588268127,"lift, new_build",339639.0
Hackney,648.0,4,3,Terraced,1969,3.122453389020255,cellar,377548.0
Bexley,1291.0,1,3,Terraced,1884,0.22201186553509464,"garden, parking, study",1905099.0
Lambeth,674.0,1,1,Flat,1888,1.332792762578243,park_view,130966.0
Southwark,1077.0,3,3,Semi-Detached,1989,0.7871019058852188,"balcony, study",1638050.0
Richmond upon Thames,655.0,4,2,Studio,1866,0.8644029316805247,"concierge, park_view, parking",251697.0
Hillingdon,714.0,4,2,Flat,1963,0.9450155176376269,"garage, new_build, park_view, parking",447699.0
Islington,776.0,4,2,Flat,1851,0.6391542774065836,"cellar, garage, loft",667659.0
Redbridge,1235.0,1,3,Semi-Detached,2014,0.9976672299878182,"ensuite, garden, near_tube, new_build, parking",1714810.0
Ealing,283.0,1,3,Terraced,1974,1.112369315926148,"gym, park_view, parking, river_view, study",120000.0
Redbridge,455.0,1,2,Semi-Detached,1992,1.5582783097207662,garden,120000.0
Hounslow,266.0,3,2,Flat,1965,1.4409691054455938,"ensuite, gym, loft, near_tube, river_view",120000.0
Westminster,524.0,4,3,Flat,1919,0.42339094265145194,lift,120000.0
Croydon,607.0,1,2,Semi-Detached,2023,0.5013090746859621,"near_tube, study",120000.0
Croydon,366.0,5,2,Studio,1986,1.9015458034621306,"balcony, ensuite, gym, lift, new_build",120000.0
Hillingdon,630.0,2,2,Flat,1865,0.706305460282102,"cellar, garden, gym, new_build",120000.0
Southwark,250.0,4,2,Detached,1950,1.276959481561911,"balcony, study",120000.0
Wandsworth,545.0,4,1,Flat,1944,2.1791531850832593,balcony,120000.0
Southwark,1210.0,1,1,Flat,1899,1.041426603525245,"loft, parking",1688797.0
Tower Hamlets,971.0,5,2,Terraced,1929,0.40694270379260183,"concierge, garden, near_tube, river_view, study",1297105.0
Kensington and Chelsea,906.0,5,1,Flat,2019,0.41424799282828445,"cellar, near_tube, park_view, river_view",1566015.0
Greenwich,549.0,5,2,Semi-Detached,1865,0.7835196987090729,gym,120000.0
Waltham Forest,389.0,1,3,Flat,2011,0.7857080799795481,"garden, lift, river_view",120000.0
Hackney,508.0,2,1,Terraced,1971,0.3524663569902192,"lift, near_tube",120000.0
Richmond upon Thames,837.0,2,2,Flat,1869,0.4776851186579432,near_tube,870027.0
Camden,1110.0,3,3,Detached,1903,1.4540860884063667,concierge,1811706.0
Kingston upon Thames,1121.0,5,1,Maisonette,1996,1.924691748370941,"balcony, cellar, concierge, lift, park_view",1575180.0
Wandsworth,1039.0,4,3,Flat,1972,0.7233535355355724,near_tube,1756460.0
Croydon,629.0,4,1,Flat,1863,0.05,"concierge, gym",120000.0
Tower Hamlets,857.0,3,3,Studio,1875,1.3714317823352464,"cellar, concierge, garden, lift, new_build, park_view",969109.0
Bromley,754.0,5,2,Flat,2011,0.1864078402815731,"balcony, garden, loft, parking, river_view",475928.0
Bexley,790.0,5,1,Detached,1877,0.273949411138839,"ensuite, garage, gym, near_tube",434885.0
Croydon,1461.0,5,3,Terraced,1958,0.8497939640694369,"cellar, gym, new_build, park_view, study",2728553.0
City of London,321.0,5,1,Maisonette,2023,2.2552031861964403,river_view,120000.0
Croydon,780.0,4,2,Flat,1878,1.6102374544807667,"cellar, river_view",440146.0
Newham,1214.0,1,2,Flat,1857,1.4960428473200482,"loft, near_tube, parking",1722646.0
Bexley,410.0,2,3,Flat,1992,0.8569687123181048,"concierge, ensuite, garden, loft, parking",120000.0
Westminster,657.0,4,2,Flat,2015,0.3239563508285617,parking,740947.0
Islington,691.0,2,3,Flat,1939,2.0333873118317447,"ensuite, lift, near_tube, river_view",487361.0
Westminster,783.0,1,2,Studio,1890,0.33429701761860325,balcony,584212.0
Islington,371.0,5,2,Flat,1860,1.2528007518291615,"cellar, ensuite, gym, lift, loft, parking",120000.0
Lambeth,1029.0,3,2,Flat,2008,1.0924693535552852,"park_view, parking",1495319.0
Waltham Forest,1050.0,5,3,Flat,1988,0.2946978086649449,"concierge, ensuite, garden, lift, parking",1429884.0
Hackney,1003.0,2,2,Flat,2005,0.17961532656663293,"balcony, gym, new_build, parking",1419056.0
Brent,589.0,2,1,Terraced,1987,1.4940635473113388,"balcony, cellar, garden",120000.0
Newham,876.0,2,3,Flat,1925,0.9797593061121846,"cellar, garage, gym, lift, parking",807094.0
Waltham Forest,580.0,2,2,Semi-Detached,1933,2.0243082649430972,"garage, garden, park_view, study",120000.0
Islington,750.0,3,2,Detached,1916,1.2107202438732771,"concierge, loft, new_build",619325.0
Kensington and Chelsea,1496.0,2,1,Flat,1977,1.1045189855230557,"balcony, concierge, loft, study",3286054.0
City of London,879.0,5,3,Semi-Detached,1867,0.11960550751715342,"cellar, park_view",1233342.0
Ealing,494.0,2,1,Flat,1856,1.0803000016844129,"concierge, ensuite, garage, river_view, study",120000.0
Waltham Forest,904.0,3,3,Flat,2017,0.9014356885514889,"ensuite, garage, garden, lift, near_tube",1141514.0
Lambeth,444.0,5,1,Maisonette,1905,1.2227592647216694,"cellar, loft, study",120000.0
Kensington and Chelsea,490.0,3,2,Maisonette,1856,0.902210152752462,"ensuite, near_tube, parking, study",120000.0
Southwark,538.0,1,1,Flat,1967,0.8839508594868911,"garage, garden, gym, near_tube, parking",120000.0
Redbridge,717.0,1,2,Terraced,1919,0.8415123672039188,"balcony, gym, loft, parking",120000.0
Camden,1131.0,3,3,Flat,1890,0.5632348927110367,"concierge, study",1679948.0
City of London,1024.0,4,2,Terraced,1925,1.4805247817856653,"near_tube, study",1711765.0
Hammersmith and Fulham,1007.0,5,2,Semi-Detached,1928,4.6883953562426814,"cellar, gym, lift, loft, park_view, river_view",1568742.0
Kensington and Chelsea,520.0,1,1,Flat,1956,0.3135222722544186,"garage, loft, new_build, parking, study",150867.0
Sutton,688.0,3,3,Maisonette,2012,0.4343310423583961,"parking, river_view",354433.0
Camden,932.0,2,2,Semi-Detached,2003,1.4762757805743116,"concierge, ensuite, lift, loft, new_build",1333791.0
Wandsworth,662.0,3,2,Flat,1993,0.7647631765522523,gym,297956.0
Sutton,766.0,3,3,Detached,1935,0.6490016969853487,"cellar, concierge, ensuite, loft, park_view",448332.0
Haringey,982.0,2,2,Semi-Detached,1947,0.18080200609432462,"cellar, near_tube",1043992.0
Hackney,745.0,1,3,Flat,1872,0.4587597803745175,"cellar, garage",423800.0
Brent,918.0,1,1,Terraced,1950,0.3935450861594315,"balcony, ensuite, garage, gym, near_tube, parking",902685.0
Barking and Dagenham,1328.0,3,2,Detached,1966,0.1918131649605771,near_tube,2172873.0
Barnet,798.0,2,2,Studio,2004,1.8462462229811236,"concierge, near_tube, new_build, park_view, parking",630614.0
Croydon,1204.0,2,1,Flat,1858,1.0427591889174486,"garden, loft, river_view",1475254.0
Croydon,1018.0,1,2,Semi-Detached,2000,4.394827141337769,"cellar, park_view, river_view",1191390.0
Harrow,410.0,1,3,Detached,1940,1.127253464092977,"balcony, loft, river_view",120000.0
Lambeth,519.0,1,3,Studio,1865,0.3402018430237887,"ensuite, garage, near_tube, new_build, parking, study",120000.0
Newham,600.0,2,3,Flat,2023,1.206086691062429,"garage, lift, loft, river_view",120000.0
Barking and Dagenham,594.0,1,3,Terraced,1931,1.3964373431792896,"garage, lift",120000.0
Islington,823.0,2,3,Detached,1921,0.6028356513035517,concierge,938969.0
Newham,1034.0,2,1,Flat,1883,1.3654862921977646,"balcony, study",1124718.0
Merton,1227.0,2,3,Flat,1862,1.34142818911818,river_view,1730417.0
Hounslow,942.0,1,2,Terraced,1864,0.48397295207460544,new_build,920878.0
City of London,716.0,1,3,Terraced,1896,1.548773744888767,"balcony, cellar, ensuite, lift, near_tube, parking",618383.0
Brent,250.0,5,2,Semi-Detached,1900,1.1692373780448166,"concierge, lift, study",120000.0
Newham,871.0,4,1,Flat,1930,0.9704476049744729,"balcony, concierge, ensuite, gym, new_build, park_view",647791.0
Kensington and Chelsea,858.0,1,2,Semi-Detached,1956,1.0454590157841033,"balcony, cellar, gym, lift",1216141.0
Newham,905.0,2,3,Flat,2022,0.33688350883048923,"cellar, ensuite",783139.0
Sutton,1482.0,2,1,Detached,1988,2.389025327586892,river_view,2642791.0
Havering,1222.0,5,2,Flat,1934,0.7556487497627886,"balcony, ensuite, garden, gym, lift",1821365.0
Westminster,1086.0,5,2,Flat,2008,0.696606224017443,loft,1820087.0
